ストリーム執筆（UI表示）,GLM-4.5-Flash / GLM-4.7-Flash / GLM-5.2,Z.AI + NVIDIA,$0,即時〜数秒,ユーザーに最初の文字を早く見せる,,,,,,,,
品質執筆（差し替え）,GLM-5.2 / GLM-4.7-Flash,NVIDIA + Z.AI,$0,6秒以内に完了時のみ,より良い日本語下書きに差し替え,,,,,,,,
並列検証（3モデル）,GLM-4.7-Flash / Nemotron 120B / Nemotron 49B,Z.AI + NVIDIA,$0,各10秒,事実誤り・禁止表現をJSONで指摘,,,,,,,,
幻覚除去（ルール）,Hard Ground Filter,自社実装,$0,即時,ヒアリング外の価格・電話・駅名等を除去,,,,,,,,
フィールド固定,Schema Seal,自社実装,$0,即時,タイトル・スラッグ・CTA等をヒアリング値で固定,,,,,,,,
,,,,,,,,,,,,,
■ 当社実測ベンチマーク詳細（再テスト 2026-08-19） / Benchmark Results (Re-tested),,,,,,,,,,,,,
モデル,テスト種別,速度,事実一致スコア,幻覚（invented）,禁止表現ヒット,テスト結果,データソース,備考,,,,,
GLM-4.5-Flash,Full homepage draft,32.4秒,8/8 (100%),0,0,成功,client_benchmark_rerun,全8項目クリア・再テストで改善,,,,,
GLM-4.7-Flash,Full homepage draft,15.0秒*,5/8 (63%),0,0,429で再テスト不可,*model_compare（前回成功）,2026-08-19 Z.AIレート制限。前回値を参照,,,,,
GLM-5.2,1-line JP headline,2.9秒,2/2 (100%),0,0,成功,client_benchmark_rerun,見出し品質良好,,,,,
Nemotron 49B,1-line JP headline,5.1秒,2/2 (100%),0,0,成功,client_benchmark_rerun,TTFB 4.3秒,,,,,
DeepSeek V4 Flash (NIM),1-line headline,70.5秒,2/2 (100%),0,0,成功,client_benchmark_rerun (theazurite),非常に遅いが見出しは生成可,,,,,
DeepSeek V4 Flash (NIM),Full draft,150.6秒 timeout,—,—,—,失敗,client_benchmark_rerun,NVIDIA 150秒制限でタイムアウト,,,,,
,,,,,,,,,,,,,
■ 事実一致チェック項目（8項目・GLM-4.5-Flash 再テスト） / Fact-check Items,,,,,,,,,,,,,
# ,チェック項目,GLM-4.5-Flash（再テスト）,GLM-4.7-Flash（前回）,説明,,,,,,,,,
1,店名（Shop name）,○,×,ヒアリングの店名が本文に含まれるか,,,,,,,,,
2,最寄駅（Station）,○,○,駅名・アクセス情報,,,,,,,,,
3,営業時間（Hours）,○,×,営業時間の記載,,,,,,,,,
4,定休日（Closed）,○,○,定休日の記載,,,,,,,,,
5,電話（Phone）,○,×,電話番号の記載,,,,,,,,,
6,アロマ（Aromatherapy）,○,○,サービス名の記載,,,,,,,,,
7,ヘッドスパ（Head spa）,○,○,サービス名の記載,,,,,,,,,
8,価格（Price）,○,○,メニュー価格の記載,,,,,,,,,
,,,,,,,,,,,,,
■ 旧ベンチマーク（参考） / Previous Benchmark Reference,,,,,,,,,,,,,
モデル,テスト種別,レイテンシ / 速度,トークン数,事実一致スコア,幻覚（ invented ）,禁止表現ヒット,見出し,CTA,データソース,備考,,,
GLM-4.5-Flash,接続テスト（短い応答）,6.7秒,112,-,-,-,-,-,smoke_models.json,接続成功,,,
GLM-4.5-Flash,全文ホームページ原稿（旧）,39.3秒,2025,6/8（75%）,0件,0件,あり,あり,model_compare_results.json,再テスト前,,,
GLM-5.2,短い日本語見出し（旧）,TTFB 1.3秒 / 計1.5秒,-,-,-,-,良好,-,nvidia_free_jp_probe.json,再テスト 2.9秒,,,
Nemotron Super 49B,短い日本語見出し（旧）,TTFB 0.7秒 / 計1.7秒,-,-,-,-,良好,-,nvidia_free_jp_probe.json,再テスト 5.1秒,,,
DeepSeek V4 Flash（NIM）,短い日本語見出し（旧）,TTFB 19.7秒 / 計21.0秒,-,-,-,-,良好,-,nvidia_free_jp_probe.json,再テスト 70.5秒（悪化）,,,
DeepSeek V4 Flash（NIM）,全文ホームページ原稿（旧）,180秒でタイムアウト,-,-,-,-,-,-,write_eval.json,再テスト 150.6秒 timeout,,,
DeepSeek V4 Flash（公式API）,全文比較,失敗（残高不足 402）,-,-,-,-,-,-,model_compare_results.json,有料API要チャージ,,,
GLM-4.7（有料）,全文比較,失敗（残高不足 429）,-,-,-,-,-,-,model_compare_results.json,有料API要チャージ,,,
,,,,,,,,,,,,,
■ 事実一致チェック項目（旧・参考） / Fact-check Items (Previous),,,,,,,,,,,,,
# ,チェック項目,GLM-4.5-Flash（旧）,GLM-4.7-Flash（前回）,説明,,,,,,,,,
1,店名（Shop name）,×,×,ヒアリングの店名が本文に含まれるか,,,,,,,,,
2,最寄駅（Station）,○,○,駅名・アクセス情報,,,,,,,,,
3,営業時間（Hours）,○,×,営業時間の記載,,,,,,,,,
4,定休日（Closed）,○,○,定休日の記載,,,,,,,,,
5,電話（Phone）,×,×,電話番号の記載,,,,,,,,,
6,アロマ（Aromatherapy）,○,○,サービス名の記載,,,,,,,,,
7,ヘッドスパ（Head spa）,○,○,サービス名の記載,,,,,,,,,
8,価格（Price）,○,○,メニュー価格の記載,,,,,,,,,
,,,,,,,,,,,,,
■ 非推奨・除外モデル / Not Recommended,,,,,,,,,,,,,
モデル名,理由,実測データ,推奨,,,,,,,,,,
DeepSeek V4 Flash（NIM 無料）,全文原稿 150秒タイムアウト。見出しのみ ~70秒。UX不可。,150.6s timeout / headline 70.5s,使用しない,,,,,,,,,,
Kimi K2 / K2.6（NIM）,当社NVIDIAアカウントで404 / EOL,404 / 410 Gone,未対応,,,,,,,,,,
Qwen3 Next 80B（NIM）,EOL（2026-07-27）,410 Gone,未対応,,,,,,,,,,
MiniMax M3 / Llama 70B（NIM）,タイムアウト（40秒超）,timeout,未対応,,,,,,,,,,
,,,,,,,,,,,,,
■ 有料モデル コスト試算（1ページ原稿） / Cost Estimate per Page,,,,,,,,,,,,,
モデル,想定トークン（入力500 + 出力1500）,入力コスト,出力コスト,合計（USD）,合計（円目安 @155円）,備考,,,,,,,
Claude Sonnet 4.6,500 in / 1500 out,$0.0015,$0.0225,~$0.024,~¥3.7,コスパ最良の有料執筆,,,,,,,
Claude Opus 4.5,500 in / 1500 out,$0.0025,$0.0375,~$0.040,~¥6.2,最高精度,,,,,,,
GPT-5.6 Terra,500 in / 1500 out,$0.0010,$0.0180,~$0.019,~¥2.9,OpenAI中位,,,,,,,
GPT-5.6 Sol,500 in / 1500 out,$0.0025,$0.0450,~$0.048,~¥7.4,OpenAI最高位,,,,,,,
Gemini 2.5 Pro,500 in / 1500 out,$0.0006,$0.0150,~$0.016,~¥2.5,Google高品質,,,,,,,
Gemini 2.5 Flash,500 in / 1500 out,$0.0002,$0.0038,~$0.004,~¥0.6,有料でも最安,,,,,,,
DeepSeek Chat（公式）,500 in / 1500 out,$0.0001,$0.0017,~$0.002,~¥0.3,要API残高（当社未チャージ）,,,,,,,
無料スタック（当社）,500 in / 1500 out,$0,$0,$0,¥0,本番デモ現在値,,,,,,,
,,,,,,,,,,,,,
■ クライアント向け推奨 / Client Recommendation,,,,,,,,,,,,,
シナリオ,推奨構成,月額目安,理由,,,,,,,,,,
PoC・デモ（現状）,無料5モデル + グラウンディング,$0,速度・精度・幻覚対策のバランスが実証済み,,,,,,,,,,
本番（コスト重視）,無料スタック継続 + 有料はSonnetのみ最終確認,低〜中,大半を無料で処理。重要ページのみ有料,,,,,,,,,,
本番（品質最優先）,Sonnet執筆 + Opus最終校正 + グラウンディング,中,日本語の自然さ・正確性を最大化,,,,,,,,,,
大量生成（数百ページ/月）,Gemini 2.5 Flash 有料 + 検証パイプライン,低,単価が最も安い有料オプション,,,,,,,,,,
,,,,,,,,,,,,,
■ 用語集 / Glossary,,,,,,,,,,,,,
用語,説明,,,,,,,,,,,,
TTFB（初回応答時間）,APIに送ってから最初の文字が返るまでの時間,,,,,,,,,,,,
幻覚（Hallucination）,ヒアリングに無い情報（価格・電話・効果等）をAIが勝手に書くこと,,,,,,,,,,,,
グラウンディング,ヒアリングシート以外の情報を禁止し、無い項目は「要ヒアリング」とする仕組み,,,,,,,,,,,,
Closed World,ヒアリングCSV/JSONが唯一の情報源である設計,,,,,,,,,,,,
Verifier,執筆結果を別モデルが事実チェックする仕組み,,,,,,,,,,,,
Schema Seal,タイトル・スラッグ・CTA等をヒアリング値で上書き固定,,,,,,,,,,,,
,,,,,,,,,,,,,
デモURL,http://144.24.125.120/demo/,,,,,,,,,,,,
問い合わせ先,BBS-CMS AI WordPress PoC Team,,,,,,,,,,,,
